omega_m,alpha_qg,dt,method,q1_proxy_l2,boo_slow_l2,boo_fast_rms,fast_to_slow_ratio,run_status,attempt_count
0.285,3e-07,0.0009,rk4,0.005313829351005129,0.005313810864441515,8.851312800010133e-07,0.00016657184506206068,ok,1
0.285,3e-07,0.0009,euler,0.005717160217679482,0.005717140005075614,9.280348162408975e-07,0.0001623250113547746,ok,1
0.285,3e-07,0.001,rk4,0.005314325596903124,0.005314302791930349,1.0366525294416362e-06,0.0001950683974980829,ok,1
0.285,3e-07,0.001,euler,0.005765597565129426,0.0057655723749365,1.0928039249503909e-06,0.0001895395381212671,ok,1
0.285,3e-07,0.0011,rk4,0.005313970730589129,0.005313943152546167,1.1954880836597329e-06,0.00022497193691029452,ok,1
0.285,3e-07,0.0011,euler,0.005813703790002389,0.005813673013305729,1.2671314997624412e-06,0.00021795713258419329,ok,1
0.295,7e-07,0.0009,rk4,0.0269940918528226,0.026993972162169835,3.4557124348778203e-06,0.00012801792985919397,ok,1
0.295,7e-07,0.0009,euler,0.031191824889305886,0.03119168034592956,3.908435449099687e-06,0.00012530377991032483,ok,1
0.295,7e-07,0.001,rk4,0.02699963554347053,0.026999487889471374,4.0473555774554705e-06,0.00014990490167902826,ok,1
0.295,7e-07,0.001,euler,0.03173976383345497,0.03173958147951691,4.648250782610406e-06,0.00014644965579051512,ok,1
0.295,7e-07,0.0011,rk4,0.02699566993217382,0.026995491415376615,4.667549462789573e-06,0.00017290107414495023,ok,1
0.295,7e-07,0.0011,euler,0.03229232217528485,0.03229209665989927,5.445312428035852e-06,0.00016862678460880927,ok,1
0.3,1.3e-06,0.0009,rk4,0.12172815691210147,0.12172758766778528,1.8909168213428644e-05,0.00015534003898142414,ok,1
0.3,1.3e-06,0.0009,euler,0.198552137132236,0.19852241726798736,0.00036046851947047387,0.001815757255181273,ok,1
0.3,1.3e-06,0.001,rk4,0.12178855064762262,0.12178784879801258,2.2144434504177816e-05,0.00018182794689891103,ok,1
0.3,1.3e-06,0.001,euler,0.2160893459065392,0.21603716579497906,0.0004053000240051106,0.0018760661968216228,ok,1
0.3,1.3e-06,0.0011,rk4,0.12174534397321114,0.12174449633267533,2.552166134304201e-05,0.00020963297817834888,ok,1
0.3,1.3e-06,0.0011,euler,0.22594953438269733,0.22588793345914338,0.00044215150644663057,0.0019573932067805696,ok,1
