omega_m,lane,quantum_model,amplitude,stable,refinement_l2,max_correction_ratio,turning_points,blowup_near_turning,final_a,passes_refinement_gate,passes_ratio_gate
0.305,alpha_qg,n/a,3e-07,True,1.0628599788202324e-07,0.001976284584980237,1,False,0.24880529932759668,True,True
0.305,bohmian_q,off,3e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,3e-07,True,1.0828125333811898e-07,1.3752858966620633e-06,1,False,0.2331277840011308,True,True
0.305,bohmian_q,plateau,3e-07,True,1.0828150993672524e-07,1.4234697538342841e-06,1,False,0.23312561486659503,True,True
0.305,bohmian_q,unified_dmde_proxy,3e-07,True,1.0828143248345899e-07,1.4088467911278465e-06,1,False,0.233126273162585,True,True
0.305,alpha_qg,n/a,3.5646923109036204e-07,True,1.0593746641993736e-07,0.0023482821547454675,1,False,0.2517047502276431,True,True
0.305,bohmian_q,off,3.5646923109036204e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,3.5646923109036204e-07,True,1.0828158358183122e-07,1.6341536959616772e-06,1,False,0.23312513165408819,True,True
0.305,bohmian_q,plateau,3.5646923109036204e-07,True,1.082819219514391e-07,1.6914067120867862e-06,1,False,0.23312255420175795,True,True
0.305,bohmian_q,unified_dmde_proxy,3.5646923109036204e-07,True,1.0828182935125495e-07,1.6740314171148006e-06,1,False,0.23312333641558172,True,True
0.305,alpha_qg,n/a,4.2356770904717955e-07,True,1.0553378624040906e-07,0.002790301113617783,1,False,0.2551225222961447,True,True
0.305,bohmian_q,off,4.2356770904717955e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,4.2356770904717955e-07,True,1.0828199033141524e-07,1.941747011249806e-06,1,False,0.23312198002941914,True,True
0.305,bohmian_q,plateau,4.2356770904717955e-07,True,1.082824000503193e-07,2.0097760646208605e-06,1,False,0.2331189173930862,True,True
0.305,bohmian_q,unified_dmde_proxy,4.2356770904717955e-07,True,1.0828226436934228e-07,1.9891304293602294e-06,1,False,0.23311984685262602,True,True
0.305,alpha_qg,n/a,5.032961851958474e-07,True,1.0506794566937314e-07,0.0033155216416063727,1,False,0.2591459906346276,True,True
0.305,bohmian_q,off,5.032961851958474e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,5.032961851958474e-07,True,1.0828247504507543e-07,2.3072369199521077e-06,1,False,0.23311823513754532,True,True
0.305,bohmian_q,plateau,5.032961851958474e-07,True,1.0828293727345348e-07,2.388070086716235e-06,1,False,0.23311459597935158,True,True
0.305,bohmian_q,unified_dmde_proxy,5.032961851958474e-07,True,1.0828280669410854e-07,2.363538625112369e-06,1,False,0.2331157004043077,True,True
0.305,alpha_qg,n/a,5.980320138249203e-07,True,1.0453248812498467e-07,0.00393960483415626,1,False,0.2638754360711977,True,True
0.305,bohmian_q,off,5.980320138249203e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
0.305,bohmian_q,gaussian,5.980320138249203e-07,True,1.0828304588019357e-07,2.741520546172925e-06,1,False,0.23311378529344037,True,True
0.305,bohmian_q,plateau,5.980320138249203e-07,True,1.0828364164474123e-07,2.8375675229275463e-06,1,False,0.23310946107766045,True,True
0.305,bohmian_q,unified_dmde_proxy,5.980320138249203e-07,True,1.0828345277673549e-07,2.8084189336579447e-06,1,False,0.2331107734073048,True,True
0.305,alpha_qg,n/a,7.106000404519682e-07,True,1.0391963225499112e-07,0.004681159686771858,1,False,0.26942537716853987,True,True
0.305,bohmian_q,off,7.106000404519682e-07,True,1.0827942535491573e-07,0.0,1,False,0.233141874620118,True,True
