omega_m,lane,null_type,l2,threshold,passes
0.305,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.305,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.305,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.305,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.305,cross_lane,alpha_zero_vs_q_off,9.11275389620796e-05,1e-08,False
0.3055,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3055,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3055,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3055,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3055,cross_lane,alpha_zero_vs_q_off,9.881653681228969e-05,1e-08,False
0.306,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.306,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.306,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.306,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.306,cross_lane,alpha_zero_vs_q_off,0.00010992332856253648,1e-08,False
0.3065,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3065,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3065,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3065,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3065,cross_lane,alpha_zero_vs_q_off,0.00013207818935631445,1e-08,False
0.307,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.307,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.307,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.307,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.307,cross_lane,alpha_zero_vs_q_off,0.00024232938992131963,1e-08,False
0.3075,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3075,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3075,bohmian_q,plateau_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3075,bohmian_q,unified_dmde_proxy_at_zero_amplitude_vs_off,0.0,1e-08,True
0.3075,cross_lane,alpha_zero_vs_q_off,0.0028131514119676265,1e-08,False
0.308,bohmian_q,off_at_zero_amplitude_vs_off,0.0,1e-08,True
0.308,bohmian_q,gaussian_at_zero_amplitude_vs_off,0.0,1e-08,True
