omega_m,lane,variant,amplitude,l2
0.305,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.02690400593550933
0.305,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,4.381446095608442e-06
0.305,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.051749807706102e-06
0.3055,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.02919379205878553
0.3055,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,4.797427207790051e-06
0.3055,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.339824785957258e-06
0.306,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.03225799018068049
0.306,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,5.388538735557427e-06
0.306,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.749471700352648e-06
0.3065,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.03710466162939872
0.3065,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,6.535691453162422e-06
0.3065,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,4.5454128960613505e-06
0.307,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.8339465322452932
0.307,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,8.563249687439242e-06
0.307,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,5.948926160600681e-06
0.3075,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,0.6054229734744847
0.3075,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,8.609284322998542e-06
0.3075,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,5.9747190345065875e-06
0.308,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,13.980161295330689
0.308,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,7.990211422504488e-06
0.308,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,5.5447238511897945e-06
0.3085,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,19167.160754699948
0.3085,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,6.939572834657067e-06
0.3085,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,4.81633148566202e-06
0.309,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,101150.45877436097
0.309,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,6.702725992351437e-06
0.309,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,4.6496305940801074e-06
0.3095,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,204.1852455507517
0.3095,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,6.641306222332737e-06
0.3095,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,4.60437500077917e-06
0.31,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,14361341.902038489
0.31,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,6.326944460377416e-06
0.31,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,4.384507526638095e-06
0.3105,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,8.128363650516238
0.3105,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,6.022938554017143e-06
0.3105,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,4.171951720980157e-06
0.311,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,85120.54713096711
0.311,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,5.825659172956129e-06
0.311,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,4.0333336003595205e-06
0.3115,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,4.033079674613613
0.3115,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,5.844300574794063e-06
0.3115,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,4.043933848465153e-06
0.312,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,225882.42667836728
0.312,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,5.686046473082596e-06
0.312,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.932499790108934e-06
0.3125,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,1274502113.841878
0.3125,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,5.4282672239626466e-06
0.3125,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.7525700463889514e-06
0.313,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,1751.5801322804975
0.313,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,5.213213498337544e-06
0.313,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.6022220878271897e-06
0.3135,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,36.57159984603836
0.3135,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,5.060914891118023e-06
0.3135,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.495288525773846e-06
0.314,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,1084775.1700101201
0.314,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,4.9905161428928754e-06
0.314,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.4449293614377813e-06
0.3145,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,1998.5371472809127
0.3145,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,5.2868041978917205e-06
0.3145,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.646749397001743e-06
0.315,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,3408820275.006066
0.315,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,5.206135695452646e-06
0.315,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.589258125369797e-06
0.3155,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,398.2549894297753
0.3155,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,4.721625248646054e-06
0.3155,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.2544592394599363e-06
0.316,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,12.33456501723177
0.316,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,4.779810981562488e-06
0.316,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.292694299734851e-06
0.3165,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,1911.5825938807934
0.3165,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,4.679443603604462e-06
0.3165,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.221991502662656e-06
0.317,alpha_qg,correction_power_4_vs_5,7.745966692414835e-07,251.13662958003164
0.317,bohmian_q,plateau_vs_gaussian,7.745966692414835e-07,4.4679098326914916e-06
0.317,bohmian_q,unified_dmde_proxy_vs_gaussian,7.745966692414835e-07,3.075028908462997e-06
