omega_m,lane,quantum_model,amplitude,method,l2_vs_rk4_ref,stable,blowup_near_turning
0.305,alpha_qg,n/a,7.745966692414835e-07,euler,0.08151366697574663,True,False
0.305,alpha_qg,n/a,7.745966692414835e-07,heun,0.0005920615044624238,True,False
0.305,alpha_qg,n/a,7.745966692414835e-07,rk4,4.348337177094929e-07,True,False
0.305,bohmian_q,gaussian,7.745966692414835e-07,euler,0.08969882660073036,True,False
0.305,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0006456496867589826,True,False
0.305,bohmian_q,gaussian,7.745966692414835e-07,rk4,4.565562775051826e-07,True,False
0.305,bohmian_q,plateau,7.745966692414835e-07,euler,0.08970005847565063,True,False
0.305,bohmian_q,plateau,7.745966692414835e-07,heun,0.000645656600439774,True,False
0.305,bohmian_q,plateau,7.745966692414835e-07,rk4,4.565596338932526e-07,True,False
0.305,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.08969968461604612,True,False
0.305,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0006456545022536417,True,False
0.305,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,4.565586257702557e-07,True,False
0.3055,alpha_qg,n/a,7.745966692414835e-07,euler,0.08956739475272649,True,False
0.3055,alpha_qg,n/a,7.745966692414835e-07,heun,0.000639542493536554,True,False
0.3055,alpha_qg,n/a,7.745966692414835e-07,rk4,4.571887471226712e-07,True,False
0.3055,bohmian_q,gaussian,7.745966692414835e-07,euler,0.10272768804713338,True,False
0.3055,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0007067209000274744,True,False
0.3055,bohmian_q,gaussian,7.745966692414835e-07,rk4,4.910458796061401e-07,True,False
0.3055,bohmian_q,plateau,7.745966692414835e-07,euler,0.1027304148403676,True,False
0.3055,bohmian_q,plateau,7.745966692414835e-07,heun,0.0007067300740255516,True,False
0.3055,bohmian_q,plateau,7.745966692414835e-07,rk4,4.910517896423988e-07,True,False
0.3055,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.10272958623973467,True,False
0.3055,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0007067272866565512,True,False
0.3055,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,4.910499967790949e-07,True,False
0.306,alpha_qg,n/a,7.745966692414835e-07,euler,0.10271704547830646,True,False
0.306,alpha_qg,n/a,7.745966692414835e-07,heun,0.0007007071103293239,True,False
0.306,alpha_qg,n/a,7.745966692414835e-07,rk4,4.92728923716069e-07,True,False
0.306,bohmian_q,gaussian,7.745966692414835e-07,euler,0.11594851082038102,True,False
0.306,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0007934493231003965,True,False
0.306,bohmian_q,gaussian,7.745966692414835e-07,rk4,5.678729461615421e-07,True,False
0.306,bohmian_q,plateau,7.745966692414835e-07,euler,0.1159493931650198,True,False
0.306,bohmian_q,plateau,7.745966692414835e-07,heun,0.0007934633730044702,True,False
0.306,bohmian_q,plateau,7.745966692414835e-07,rk4,5.678897666738126e-07,True,False
0.306,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.11594912466932565,True,False
0.306,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0007934590993105222,True,False
0.306,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,5.678846851487488e-07,True,False
0.3065,alpha_qg,n/a,7.745966692414835e-07,euler,0.4234790919903198,True,False
0.3065,alpha_qg,n/a,7.745966692414835e-07,heun,0.0007882820509166508,True,False
0.3065,alpha_qg,n/a,7.745966692414835e-07,rk4,5.743557013409837e-07,True,False
0.3065,bohmian_q,gaussian,7.745966692414835e-07,euler,0.11727149721719918,True,False
0.3065,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0009620570044557331,True,False
0.3065,bohmian_q,gaussian,7.745966692414835e-07,rk4,1.0973420159451146e-06,True,False
0.3065,bohmian_q,plateau,7.745966692414835e-07,euler,0.11727116716078081,True,False
0.3065,bohmian_q,plateau,7.745966692414835e-07,heun,0.0009620956774060951,True,False
0.3065,bohmian_q,plateau,7.745966692414835e-07,rk4,1.0976112847370474e-06,True,False
0.3065,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.11727126756788972,True,False
0.3065,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0009620838994968873,True,False
0.3065,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,1.0975292737770414e-06,True,False
0.307,alpha_qg,n/a,7.745966692414835e-07,euler,1.29127195094335,True,False
0.307,alpha_qg,n/a,7.745966692414835e-07,heun,0.0009649874903110408,True,False
0.307,alpha_qg,n/a,7.745966692414835e-07,rk4,1.2133917569548194e-06,True,False
0.307,bohmian_q,gaussian,7.745966692414835e-07,euler,0.11275127008897137,True,False
0.307,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0011540321853487764,True,False
0.307,bohmian_q,gaussian,7.745966692414835e-07,rk4,0.00022198647151243188,False,False
0.307,bohmian_q,plateau,7.745966692414835e-07,euler,0.11275059933531073,True,False
0.307,bohmian_q,plateau,7.745966692414835e-07,heun,0.0011479647845847422,True,False
0.307,bohmian_q,plateau,7.745966692414835e-07,rk4,0.00018848654234145356,False,False
0.307,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.11275080286745243,True,False
0.307,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0011497308700746756,True,False
0.307,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,0.00019880338211844634,False,False
0.3075,alpha_qg,n/a,7.745966692414835e-07,euler,2.003449814212991,True,False
0.3075,alpha_qg,n/a,7.745966692414835e-07,heun,0.011760444541572566,True,False
0.3075,alpha_qg,n/a,7.745966692414835e-07,rk4,0.0005673995454835676,True,False
0.3075,bohmian_q,gaussian,7.745966692414835e-07,euler,0.10840988534296896,True,False
0.3075,bohmian_q,gaussian,7.745966692414835e-07,heun,0.001083132494063146,True,False
0.3075,bohmian_q,gaussian,7.745966692414835e-07,rk4,8.14146259192424e-05,True,False
0.3075,bohmian_q,plateau,7.745966692414835e-07,euler,0.1084093769458605,True,False
0.3075,bohmian_q,plateau,7.745966692414835e-07,heun,0.001083272742776327,True,False
0.3075,bohmian_q,plateau,7.745966692414835e-07,rk4,7.911843520883121e-05,True,False
0.3075,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.10840953202617064,True,False
0.3075,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.001083229626289431,True,False
0.3075,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,7.981942325409092e-05,True,False
0.308,alpha_qg,n/a,7.745966692414835e-07,euler,3.180165115506393,True,False
0.308,alpha_qg,n/a,7.745966692414835e-07,heun,0.04245109709521577,True,False
0.308,alpha_qg,n/a,7.745966692414835e-07,rk4,0.002796330154869461,True,False
0.308,bohmian_q,gaussian,7.745966692414835e-07,euler,0.10446158266724856,True,False
0.308,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0010501282694454343,True,False
0.308,bohmian_q,gaussian,7.745966692414835e-07,rk4,9.680472765139373e-05,True,False
0.308,bohmian_q,plateau,7.745966692414835e-07,euler,0.10446116985856578,True,False
0.308,bohmian_q,plateau,7.745966692414835e-07,heun,0.001049752353736859,True,False
0.308,bohmian_q,plateau,7.745966692414835e-07,rk4,9.645891799505628e-05,True,False
0.308,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.10446129590155015,True,False
0.308,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0010498669108845872,True,False
0.308,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,9.656328238329817e-05,True,False
0.3085,alpha_qg,n/a,7.745966692414835e-07,euler,4.757223959007416,True,False
0.3085,alpha_qg,n/a,7.745966692414835e-07,heun,0.09539401431479261,True,False
0.3085,alpha_qg,n/a,7.745966692414835e-07,rk4,0.0038819356184439406,True,False
0.3085,bohmian_q,gaussian,7.745966692414835e-07,euler,0.10084855869116892,True,False
0.3085,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0009791853033860464,True,False
0.3085,bohmian_q,gaussian,7.745966692414835e-07,rk4,9.621236273102559e-05,True,False
0.3085,bohmian_q,plateau,7.745966692414835e-07,euler,0.10084808424255097,True,False
0.3085,bohmian_q,plateau,7.745966692414835e-07,heun,0.0009793961882321991,True,False
0.3085,bohmian_q,plateau,7.745966692414835e-07,rk4,9.654824373891737e-05,True,False
0.3085,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.10084822930495903,True,False
0.3085,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0009793311309019698,True,False
0.3085,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,9.644003256171307e-05,True,False
0.309,alpha_qg,n/a,7.745966692414835e-07,euler,6.157282917111015,True,False
0.309,alpha_qg,n/a,7.745966692414835e-07,heun,0.1562170726155319,True,False
0.309,alpha_qg,n/a,7.745966692414835e-07,rk4,0.007591708737308678,True,False
0.309,bohmian_q,gaussian,7.745966692414835e-07,euler,0.09753022531782239,True,False
0.309,bohmian_q,gaussian,7.745966692414835e-07,heun,0.0009433352100694138,True,False
0.309,bohmian_q,gaussian,7.745966692414835e-07,rk4,0.0001006264176438406,True,False
0.309,bohmian_q,plateau,7.745966692414835e-07,euler,0.09752975618752006,True,False
0.309,bohmian_q,plateau,7.745966692414835e-07,heun,0.0009435694794924233,True,False
0.309,bohmian_q,plateau,7.745966692414835e-07,rk4,0.00010128032792385984,True,False
0.309,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.09752989979072071,True,False
0.309,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0009434968636872211,True,False
0.309,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,0.0001010724671235117,True,False
0.3095,alpha_qg,n/a,7.745966692414835e-07,euler,7.844916311844464,True,False
0.3095,alpha_qg,n/a,7.745966692414835e-07,heun,0.21182364091393788,True,False
0.3095,alpha_qg,n/a,7.745966692414835e-07,rk4,0.015498713971512744,True,False
0.3095,bohmian_q,gaussian,7.745966692414835e-07,euler,0.09445955978214897,True,False
0.3095,bohmian_q,gaussian,7.745966692414835e-07,heun,0.000913851951487166,True,False
0.3095,bohmian_q,gaussian,7.745966692414835e-07,rk4,8.266422976467112e-05,True,False
0.3095,bohmian_q,plateau,7.745966692414835e-07,euler,0.09445917159579752,True,False
0.3095,bohmian_q,plateau,7.745966692414835e-07,heun,0.0009139260132698457,True,False
0.3095,bohmian_q,plateau,7.745966692414835e-07,rk4,8.146817241838415e-05,True,False
0.3095,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,euler,0.09445929054467099,True,False
0.3095,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,heun,0.0009139030877367355,True,False
0.3095,bohmian_q,unified_dmde_proxy,7.745966692414835e-07,rk4,8.183484248147177e-05,True,False
0.31,alpha_qg,n/a,7.745966692414835e-07,euler,9.297328265300653,True,False
0.31,alpha_qg,n/a,7.745966692414835e-07,heun,0.28014209238444016,True,False
0.31,alpha_qg,n/a,7.745966692414835e-07,rk4,0.021438361650568314,True,False
0.31,bohmian_q,gaussian,7.745966692414835e-07,euler,0.09161863934144682,True,False
